species,water_type,key_nutrients,deficiencies_addressed,protein_g,omega3_mg,iron_mg,zinc_mg,vitamin_b12_ug,vitamin_d_ug,iodine_ug,vitamin_a_ug,region,farming_suitable,tank_size_liters,difficulty,notes
Sardine,marine,"omega3,vitamin_d,vitamin_b12,calcium","vitamin_d_deficiency,vitamin_b12_deficiency,iron_deficiency",24.6,1480,2.7,1.4,8.9,19.0,30,32,"Mediterranean,Europe,Africa,Pacific",0,0,hard,Wild-caught - one of the most nutrient-dense fish available.
Mackerel,marine,"omega3,vitamin_d,vitamin_b12","vitamin_d_deficiency,vitamin_b12_deficiency,iron_deficiency",23.9,1300,1.7,1.1,9.0,16.0,29,30,Global temperate waters,0,0,hard,Wild-caught pelagic fish; extremely nutrient-dense.
Salmon,marine,"omega3,vitamin_d,vitamin_b12,protein","vitamin_d_deficiency,vitamin_b12_deficiency,iron_deficiency",20.4,2260,1.5,1.0,3.2,11.0,25,12,"North Atlantic,Pacific",0,0,hard,Marine aquaculture exists but requires large cold-water setups.
Tuna,marine,"protein,omega3,vitamin_b12,vitamin_d","vitamin_b12_deficiency,vitamin_d_deficiency,iron_deficiency",23.3,1300,1.6,1.0,9.4,5.0,18,16,Global tropical/temperate oceans,0,0,hard,Wild-caught; not feasible for home aquaponics.
Cod,marine,"protein,vitamin_b12,iodine","vitamin_b12_deficiency,iron_deficiency,vitamin_d_deficiency",17.8,200,0.7,0.7,1.0,9.0,100,12,"North Atlantic,Pacific",0,0,hard,"Lean white fish, exceptional iodine source."
Herring,marine,"omega3,vitamin_d,vitamin_b12","vitamin_d_deficiency,vitamin_b12_deficiency,iron_deficiency",18.0,1700,1.1,1.0,8.5,22.0,32,28,"North Atlantic,Pacific",0,0,hard,"Wild-caught, exceptionally high in vitamin D."
Anchovy,marine,"omega3,calcium,vitamin_b12,iron","iron_deficiency,vitamin_b12_deficiency,vitamin_d_deficiency",28.9,1500,4.6,1.7,3.0,12.0,28,14,"Mediterranean,Pacific,Atlantic",0,0,hard,Tiny but extremely nutrient-dense; best iron source among fish.
Halibut,marine,"protein,omega3,vitamin_d","vitamin_d_deficiency,vitamin_b12_deficiency",22.7,600,0.9,0.6,1.2,14.0,22,18,"North Atlantic,Pacific",0,0,hard,"Premium white fish, high in vitamin D."
Seaweed-fed Rabbitfish,brackish,"iodine,omega3,vitamin_a","vitamin_a_deficiency,iron_deficiency",19.5,400,1.3,1.0,1.8,7.0,80,42,"Pacific,Indian Ocean",1,400,easy,Herbivorous - can be fed kitchen scraps; high in vitamin A.
Pacific Oyster,marine,"zinc,iron,vitamin_b12,iodine","zinc_deficiency,iron_deficiency,vitamin_b12_deficiency",9.0,700,6.7,60.0,16.0,8.0,90,18,Global coastal waters,0,0,hard,Top zinc source by far; requires brackish/marine aquaculture.
Koi (Ornamental Carp),freshwater,"protein,vitamin_b12",vitamin_b12_deficiency,18.0,200,1.2,1.0,1.3,4.0,8,12,"Asia,Global ornamental",1,500,easy,Often raised in decorative terrace ponds; edible.
Pangasius (Basa),freshwater,"protein,omega3","iron_deficiency,vitamin_b12_deficiency",22.0,250,1.0,0.8,2.0,4.0,7,8,Southeast Asia,1,400,easy,Major aquaculture species in Vietnam; tolerant of dense stocking.
Atlantic Mackerel,marine,"omega3,vitamin_d,vitamin_b12,selenium","vitamin_d_deficiency,vitamin_b12_deficiency",23.9,1300,1.7,1.1,9.0,16.0,29,30,North Atlantic,0,0,hard,Sustainably caught; very high omega-3.
Indian Mackerel,marine,"omega3,vitamin_d,iodine,vitamin_b12","vitamin_d_deficiency,iron_deficiency,vitamin_b12_deficiency",22.0,1450,1.9,1.2,8.5,14.0,35,28,"Indian Ocean,Western Pacific",0,0,hard,Affordable small pelagic - staple protein in South Asia.
Pearl Spot (Karimeen),brackish,"protein,omega3,vitamin_a","vitamin_a_deficiency,iron_deficiency",20.0,500,1.4,1.1,2.0,7.0,25,38,South Asia,1,300,medium,Brackish-water delicacy; suitable for backwater terrace ponds.
Gourami,freshwater,"protein,vitamin_b12","vitamin_b12_deficiency,iron_deficiency",18.5,180,1.3,0.9,1.5,3.0,6,10,Southeast Asia,1,200,easy,Labyrinth fish - tolerates stagnant low-oxygen water.
Pompano,marine,"omega3,protein,vitamin_d","vitamin_d_deficiency,vitamin_b12_deficiency",23.0,700,1.0,1.0,2.5,12.0,22,16,"Tropical Atlantic,Pacific",0,0,hard,Marine cage aquaculture candidate; premium quality.
Black Pomfret,marine,"protein,omega3,vitamin_b12","vitamin_b12_deficiency,iron_deficiency",20.0,800,1.3,1.0,2.5,10.0,24,22,"Indian Ocean,Western Pacific",0,0,hard,Popular marine table fish; rich in omega-3.
